Master Inventory — Edit Here Only,,,,,,,
All edits happen on this tab. The Price List (EN) and Lista de Precios (ES) tabs update automatically.,,,,,,,
,,,,,,,
Product,Category,Price (USD),Status,Bulk Discount (EN),Bulk Discount (ES),COA URL,Image URL
Tesamorelin 20mg,Weight Loss & Metabolism,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1784652491739-06l30c.png
AICAR 50mg,Weight Loss & Metabolism,$95,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1782953849553-8az4s2.png
5-amino-1mq 5mg,Weight Loss & Metabolism,$60,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687398831-8vfsnf.webp
5-amino-1mq 50mg,Weight Loss & Metabolism,$90,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,
Fat Blaster Amino Blend 10ml,Weight Loss & Metabolism,$110,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1782953728808-bbprfn.png
Slu-pp332 5mg,Exercise Mimetic & Metabolic Modulator,$80,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687456289-b5y2l.webp
BPC-157 10mg,Recovery & Healing,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/94973-BPC157_10mg_S64EVVWJIBLE,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687473173-iq4opi.webp
BPC-157 + TB-500 20mg (Wolverine Stack),Recovery & Healing,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/13QUahpzCIOYZrnFgk8xSqL4ewXbCK4tK/view?usp=sharing https://drive.google.com/file/d/1ZkRuudRS_jGmfWkaZDvYvFu_FJzdEBiD/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687491105-dqx5xa.webp
Cartalax 20mg,Recovery & Healing,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1783397685291-qipeb.png
KLOW 80mg,Recovery & Healing,$180,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1cAuKeeK_Ftrpi5zQ6mCpwLZ41qfDjnHy/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687523303-y9n91w.webp
TB-4 10mg,Recovery & Healing,$110,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1iiFFZCQOikzHEJDs7aPSRI2HpsD3xQrf/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687508091-1bg9m2.webp
SUPER Human Amino Blend 10ml,Recovery & Healing,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780734974264-silfqo.webp
GLOW 50mg,Skin & Beauty + Tissure Repair,$120,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780688011798-0j2rdh.webp
GLOW 70mg,Skin & Beauty + Tissure Repair,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/198257-GLOW_70mg_UJ8L8HAUZDYF,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687992606-b6jtq.webp
KPV 10mg,Anti-Inflammatory,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687569649-eufqo.webp
Sermorelin 10mg,Performance & Hormones,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687590842-3m2mh6.webp
"HCG 10,000 IU",Performance & Hormones,$160,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687629487-idgvlm.webp
IGF-1LR3 1mg,Performance & Hormones,$160,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687616971-sutppf.webp
HGH 50 IU (Pfizer Genotropin),Performance & Hormones,$275,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1783810751406-w5ov6q.png
HGH 30 IU,Performance & Hormones,$125,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780734338334-nfmm9.webp
HGH 24 IU,Performance & Hormones,$120,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689544168-0m0kcl.webp
HGH 12 IU,Performance & Hormones,$70,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689557795-r8md2n.webp
Ipamorelin 10mg,Performance & Hormones,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687714469-m5vfxk.webp
CJC-1295 with DAC 5mg,Performance & Hormones,$120,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1g4EbJVgt7Dn2u5tOB5h7s2bRWXY7-0Zn/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687733507-hekyo.webp
CJC-1295 without DAC + IPA 10mg,Performance & Hormones,$120,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687746459-dkmd3k.webp
SS-31 10mg,Anti-Aging & Longevity,$120,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687759502-wglomt.webp
SS-31 25mg,Anti-Aging & Longevity,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://verify.janoshik.com/tests/137787-SS31_25mg_Z1ZJLAQE8TKH,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1784828804267-up1ks.png
NAD+ 500mg,Anti-Aging & Longevity,$67.85,In Stock,41% Deal of the Week,41% Deal of the Week,https://drive.google.com/file/d/1JsR6-MFBvUyU3Z65ZfAPqFa2iTR7F6z_/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780747454659-g8rym.webp
NAD+ 1000mg,Anti-Aging & Longevity,$88.50,In Stock,41% Deal of the Week,41% Deal of the Week,,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1782145561058-65c7h.webp
Mots-C 10mg,Anti-Aging & Longevity,$90,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/17UVvQrPaP0lHWuH-X89tti-g5T6XGmDH/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687836109-ui4h5.webp
Mots-C 40mg,Anti-Aging & Longevity,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687853301-qskog.webp
Epithalon 50mg,Anti-Aging & Longevity,$170,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687872139-exdgst.webp
Thymosin Alpha-1 10mg,Immune System Modulation,$150,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689181862-3shtgh.webp
Oxytocin Acetate 5mg,Mood & Social Wellness,$105,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,
Selank 10mg,Cognitive & Mood,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1F3Ns99ZPjeIfJ8Uv9hcvt00AjI-AqaE5/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687893686-0v0fjb.webp
Adamax 5mg,Cognitive & Mood,$115,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687912223-s5357.webp
Adamax 10mg,Cognitive & Mood,$135,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,
Semax 10mg,Cognitive & Mood,$90,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",https://drive.google.com/file/d/1OO5hsgt2_0WEujkgwfEhRZTWO-l9-lxM/view?usp=sharing,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687928111-anbif.webp
Pinealon 20mg,Cognitive & Mood,$120,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780689197741-hoyyvg.webp
DSIP 5mg,Sleep,$100,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1786140957739-4ryyh5-c.webp
DSIP 10mg,Sleep,$115,In Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1783397817238-v845jt.png
DSIP 15mg,Sleep,$125,Out of Stock,"Buy 5+ vials, get 15% off","Compra 5+ viales, 15% de descuento",,https://cbanvzipzfmllexraiei.supabase.co/storage/v1/object/public/product-pics/1780687943031-9vg7j.webp
